epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,3642,0.45956,0.61678,0.34148,0.89431,0.78603,0.86037,0.46917,0.52234,0.50813,0.4919,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
241,12608.4,0.27574,0.45579,0.21987,0.94256,0.87786,0.93425,0.65966,0.38952,0.416,0.33719,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
49,3784.91,0.46669,0.618,0.34113,0.89161,0.77893,0.85649,0.40745,0.58569,0.51672,0.55737,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
242,12746.1,0.27815,0.444,0.21779,0.94581,0.87657,0.93658,0.66087,0.39028,0.41424,0.33822,0.0156846,0.0052282,0.0156846,0.0052282,0.0156846,0.0052282,0.0156846,0.0052282
50,3927.41,0.46962,0.61382,0.34482,0.84354,0.77107,0.82902,0.36417,0.6247,0.5135,0.64056,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
243,12879.1,0.26833,0.44646,0.21285,0.94648,0.87837,0.93815,0.66309,0.38936,0.41513,0.33611,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084
51,4060.6,0.47482,0.5988,0.34066,0.8708,0.79838,0.8569,0.41201,0.58257,0.5036,0.5735,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
244,13024.6,0.27202,0.44126,0.21162,0.94846,0.87396,0.93478,0.66075,0.39055,0.41212,0.33833,0.0155658,0.0051886,0.0155658,0.0051886,0.0155658,0.0051886,0.0155658,0.0051886
52,4201.36,0.46718,0.58979,0.34176,0.90051,0.8286,0.88722,0.49585,0.50751,0.48548,0.461,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
245,13176.5,0.27379,0.44659,0.21999,0.94894,0.87828,0.93952,0.66635,0.39071,0.41012,0.33892,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688
53,4355.76,0.4573,0.59115,0.33728,0.91204,0.79913,0.87755,0.50209,0.51842,0.47116,0.46823,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
246,13335.1,0.27338,0.44878,0.21522,0.94583,0.87684,0.9371,0.66454,0.38984,0.41178,0.33908,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
54,4522.65,0.45911,0.59141,0.34181,0.8796,0.79585,0.85775,0.43449,0.57627,0.48769,0.54973,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
247,13495.4,0.30028,0.46069,0.22378,0.94218,0.8806,0.93699,0.66406,0.38873,0.4114,0.33851,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292
55,4683.48,0.45871,0.59975,0.33495,0.91013,0.80152,0.87345,0.41577,0.57368,0.48562,0.55959,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
248,13658.8,0.29191,0.45393,0.21665,0.9432,0.87921,0.93904,0.66648,0.38528,0.41384,0.33346,0.0153282,0.0051094,0.0153282,0.0051094,0.0153282,0.0051094,0.0153282,0.0051094
56,4844.66,0.46138,0.59747,0.33933,0.86516,0.7775,0.84076,0.40499,0.58672,0.49395,0.55575,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
249,13807.5,0.26842,0.4321,0.2133,0.95077,0.87718,0.93901,0.66914,0.38433,0.41212,0.33403,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896
57,4993.44,0.43548,0.59802,0.32778,0.87854,0.79203,0.85362,0.37176,0.61336,0.51248,0.6411,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
250,13947.5,0.2837,0.45566,0.21855,0.94784,0.87828,0.939,0.66872,0.38409,0.4112,0.33136,0.0152094,0.0050698,0.0152094,0.0050698,0.0152094,0.0050698,0.0152094,0.0050698
58,5135.25,0.44854,0.5881,0.33233,0.88086,0.79098,0.86118,0.43704,0.58256,0.46526,0.52737,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
251,14084.4,0.28215,0.44116,0.21578,0.95115,0.87156,0.93645,0.66957,0.38358,0.41109,0.33088,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
59,5278.47,0.4752,0.58525,0.33308,0.85849,0.77158,0.8314,0.36535,0.63023,0.5073,0.65294,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
252,14221.6,0.27022,0.44235,0.20888,0.95057,0.87126,0.93639,0.67031,0.38451,0.40981,0.33156,0.0150906,0.0050302,0.0150906,0.0050302,0.0150906,0.0050302,0.0150906,0.0050302
60,5408.63,0.45237,0.59743,0.33768,0.89699,0.81276,0.87881,0.45283,0.54747,0.49595,0.52349,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
253,14363.9,0.27143,0.43985,0.21512,0.94833,0.87336,0.93854,0.67337,0.38464,0.40563,0.33112,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104
61,5547.1,0.45582,0.59622,0.32716,0.87595,0.78439,0.84612,0.38162,0.6027,0.52087,0.60672,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
254,14504.4,0.27527,0.44735,0.21621,0.94403,0.87471,0.93697,0.67354,0.38473,0.40438,0.33122,0.0149718,0.0049906,0.0149718,0.0049906,0.0149718,0.0049906,0.0149718,0.0049906
62,5691.23,0.46263,0.59028,0.33277,0.88349,0.82371,0.87849,0.4579,0.54298,0.48608,0.51853,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
255,14641.5,0.26713,0.44911,0.21388,0.94779,0.87203,0.93584,0.67191,0.38657,0.40555,0.33491,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708
